id,fund_type,department_code,fund_code,organization_code,organization_description,division_code,division_description,section_code,sub_section_code,sub_section_description,schedule_grade,bargaining_unit,title_code,budgeted_unit,position_control,budgeted_pay_rate,total_budgeted_amount,total_budgeted_unit_people,total_budgeted_unit_time
13,Local,1,0100,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3007,0,,1 00,9,9876,Annual,1,57792,57792,1.0,
14,Local,1,0100,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3007,0,,1 00,9,9870,Annual,1,52536,52536,1.0,
15,Local,1,0100,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3007,0,,1 00,9,9870,Annual,1,51504,51504,1.0,
16,Local,1,0100,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3010,0,,1 00,9,9899,Annual,1,195000,195000,1.0,
17,Local,1,0100,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3010,0,,1 00,9,9891,Annual,1,107112,107112,1.0,
18,Local,1,0100,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3010,0,,1 00,9,9889,Annual,1,180000,180000,1.0,
19,Local,1,0100,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3010,0,,1 00,9,9874,Annual,1,89304,89304,1.0,
20,Local,1,0100,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3010,0,,1 00,0,9637,Annual,1,83796,83796,1.0,
21,Local,1,0100,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3010,0,,1 00,0,9637,Annual,1,65976,65976,1.0,
22,Local,1,0100,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3010,0,,1 00,0,9637,Annual,1,61800,61800,1.0,
23,Local,1,0100,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3010,0,,1 00,0,9637,Annual,1,58752,58752,1.0,
24,Local,1,0100,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3010,0,,1 00,0,9637,Annual,1,58728,58728,1.0,
25,Local,1,0100,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3010,0,,1 00,0,9637,Annual,1,57792,57792,1.0,
26,Local,1,0100,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3010,0,,1 00,0,9637,Annual,1,53568,53568,1.0,
27,Local,1,0100,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3015,0,,1 00,9,9877,Annual,1,122016,122016,1.0,
28,Local,1,0100,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3015,0,,1 00,9,9854,Annual,1,165000,165000,1.0,
29,Local,1,0100,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3015,0,,1 00,9,9642,Annual,1,120348,120348,1.0,
30,Local,1,0100,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3015,0,,1 00,9,9616,Annual,1,94560,94560,1.0,
31,Local,1,0100,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3015,0,,1 00,9,9616,Annual,1,90000,90000,1.0,
32,Local,1,0100,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3015,0,,1 00,9,9616,Annual,1,80016,80016,1.0,
33,Local,1,0100,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3015,0,,1 00,9,9615,Annual,1,120000,120000,1.0,
34,Local,1,0100,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3015,0,,1 00,9,0925,Annual,1,82008,82008,1.0,
35,Local,1,0100,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3015,0,,1 00,9,0740,Annual,1,75000,75000,1.0,
36,Local,1,0100,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3015,0,,1 00,9,0740,Annual,1,65016,130032,2.0,
37,Local,1,0100,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3015,0,,1 00,9,0740,Annual,1,61800,61800,1.0,
38,Local,1,0100,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3015,0,,1 00,9,0740,Annual,1,51504,51504,1.0,
39,Local,1,0100,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3100,0,,1 00,9,9896,Annual,1,169992,169992,1.0,
40,Local,1,0100,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3100,0,,1 00,9,9639,Annual,1,132000,132000,1.0,
41,Local,1,0100,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3105,0,,1 00,9,9898,Annual,1,165000,165000,1.0,
42,Local,1,0100,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3105,0,,1 00,9,9873,Annual,1,154992,154992,1.0,
43,Local,1,0100,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3105,0,,3 00,9,9865,Annual,1,75000,75000,1.0,
44,Local,1,0100,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3105,0,,1 00,0,3858,Annual,1,89304,89304,1.0,
45,Local,1,0100,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3105,0,,1 00,0,3858,Annual,1,70008,70008,1.0,
46,Local,1,0100,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3110,0,,1 00,9,9877,Annual,1,125244,125244,1.0,
47,Local,1,0100,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3110,0,,1 00,9,9875,Annual,1,125016,125016,1.0,
48,Local,1,0100,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3110,0,,1 00,9,9872,Annual,1,165000,165000,1.0,
49,Local,1,0100,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3110,0,,1 00,9,9871,Annual,1,126072,126072,1.0,
50,Local,1,0100,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3115,0,,1 00,9,9874,Annual,1,100008,100008,1.0,
51,Local,1,0100,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3115,0,,1 00,9,9872,Annual,1,165000,165000,1.0,
52,Local,1,0100,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3115,0,,3 00,9,9866,Annual,1,85008,85008,1.0,
53,Local,1,0100,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3120,0,,1 00,9,9892,Annual,1,128760,128760,1.0,
54,Local,1,0100,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3120,0,,1 00,9,9875,Annual,1,122544,122544,1.0,
55,Local,1,0100,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3120,0,,1 00,9,9855,Annual,1,128760,386280,3.0,
56,Local,1,0100,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3120,0,,1 00,9,9807,Annual,1,80088,80088,1.0,
57,Local,1,0100,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3120,0,,1 00,9,9807,Annual,1,75648,226944,3.0,
58,Local,1,0100,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3120,0,,1 00,9,9807,Annual,1,70008,70008,1.0,
59,Local,1,0100,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3120,0,,1 00,9,9807,Annual,1,65004,65004,1.0,
60,Local,1,0100,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3120,0,,1 00,9,9670,Annual,1,175092,175092,1.0,
61,Local,1,0100,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3125,0,,1 00,9,9898,Annual,1,165000,165000,1.0,
62,Local,1,0100,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3125,0,,3 00,9,9865,Annual,1,75000,75000,1.0,
63,Local,1,0100,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3130,0,,1 00,9,9898,Annual,1,165000,165000,1.0,
64,Local,1,0100,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3130,0,,1 00,9,9874,Annual,1,80016,80016,1.0,
65,Local,1,0100,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3130,0,,1 00,9,9671,Annual,1,108960,108960,1.0,
66,Local,1,0100,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3135,0,,1 00,9,9875,Annual,1,128760,128760,1.0,
67,Local,1,0100,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3135,0,,1 00,9,9875,Annual,1,110016,110016,1.0,
68,Local,1,0100,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3135,0,,1 00,9,9872,Annual,1,165000,165000,1.0,
69,Local,1,0100,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3140,0,,1 00,9,9875,Annual,1,115008,115008,1.0,
70,Local,1,0100,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3140,0,,1 00,9,9874,Annual,1,86016,86016,1.0,
71,Local,1,0100,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3140,0,,1 00,9,9874,Annual,1,85008,340032,4.0,
72,Local,1,0100,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3140,0,,1 00,9,9874,Annual,1,84000,84000,1.0,
73,Local,1,0100,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3140,0,,1 00,9,9874,Annual,1,75000,75000,1.0,
74,Local,1,0100,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3140,0,,1 00,9,9872,Annual,1,165000,165000,1.0,
75,Local,1,0100,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3140,0,,1 00,9,9871,Annual,1,135000,135000,1.0,
76,Local,1,0100,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3145,0,,1 00,9,9898,Annual,1,165000,165000,1.0,
77,Local,1,0100,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3145,0,,1 00,9,9875,Annual,1,122016,122016,1.0,
78,Local,1,0100,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3145,0,,1 00,9,9875,Annual,1,120000,120000,1.0,
79,Local,1,0100,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3145,0,,1 00,9,9873,Annual,1,150000,150000,1.0,
80,Local,1,0100,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3145,0,,3 00,9,9866,Annual,1,90000,90000,1.0,
81,Local,1,0100,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3145,0,,3 00,9,9866,Annual,1,85008,85008,1.0,
82,Local,1,0100,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3145,0,,3 00,9,9866,Annual,1,80016,80016,1.0,
83,Local,1,0100,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3145,0,,3 00,9,9865,Annual,1,67008,67008,1.0,
84,Local,3,0100,1005,OFFICE OF INSPECTOR GENERAL,2005,Office of Inspector General,3010,0,,1 00,9,9903,Annual,1,169992,169992,1.0,
85,Local,3,0100,1005,OFFICE OF INSPECTOR GENERAL,2005,Office of Inspector General,3010,0,,BX 14,10,1727,Annual,1,58968,117936,2.0,
86,Local,3,0100,1005,OFFICE OF INSPECTOR GENERAL,2005,Office of Inspector General,3010,0,,BX 16,10,1721,Annual,1,75408,75408,1.0,
87,Local,3,0100,1005,OFFICE OF INSPECTOR GENERAL,2005,Office of Inspector General,3010,0,,BX 16,10,1721,Annual,1,70272,70272,1.0,
88,Local,3,0100,1005,OFFICE OF INSPECTOR GENERAL,2005,Office of Inspector General,3010,0,,BX 16,10,1721,Annual,1,64704,129408,2.0,
89,Local,3,0100,1005,OFFICE OF INSPECTOR GENERAL,2005,Office of Inspector General,3010,0,,GY 10,20,1719,Annual,1,93924,93924,1.0,
90,Local,3,0100,1005,OFFICE OF INSPECTOR GENERAL,2005,Office of Inspector General,3010,0,,3 00,0,1717,Annual,1,110052,110052,1.0,
91,Local,3,0100,1005,OFFICE OF INSPECTOR GENERAL,2005,Office of Inspector General,3010,0,,BX 17,20,1327,Annual,1,100668,100668,1.0,
92,Local,3,0100,1005,OFFICE OF INSPECTOR GENERAL,2005,Office of Inspector General,3010,0,,BX 15,10,0802,Annual,1,61776,61776,1.0,
93,Local,3,0100,1005,OFFICE OF INSPECTOR GENERAL,2005,Office of Inspector General,3010,0,,BX 17,10,0790,Annual,1,79020,79020,1.0,
94,Local,3,0100,1005,OFFICE OF INSPECTOR GENERAL,2005,Office of Inspector General,3010,0,,BX 17,10,0790,Annual,1,75408,75408,1.0,
95,Local,3,0100,1005,OFFICE OF INSPECTOR GENERAL,2005,Office of Inspector General,3010,0,,3 00,0,0705,Annual,1,104712,104712,1.0,
96,Local,3,0100,1005,OFFICE OF INSPECTOR GENERAL,2005,Office of Inspector General,3010,0,,BX 12,10,0645,Annual,1,48960,48960,1.0,
97,Local,3,0100,1005,OFFICE OF INSPECTOR GENERAL,2005,Office of Inspector General,3010,0,,GY 09,10,0641,Annual,1,82368,247104,3.0,
98,Local,3,0100,1005,OFFICE OF INSPECTOR GENERAL,2005,Office of Inspector General,3010,0,,BX 17,10,0634,Annual,1,96096,96096,1.0,
99,Local,3,0100,1005,OFFICE OF INSPECTOR GENERAL,2005,Office of Inspector General,3010,0,,BX 12,20,0323,Annual,1,48960,48960,1.0,
100,Local,3,0100,1005,OFFICE OF INSPECTOR GENERAL,2005,Office of Inspector General,3010,0,,BX 12,20,0323,Annual,1,46776,46776,1.0,
101,Local,3,0100,1005,OFFICE OF INSPECTOR GENERAL,2005,Office of Inspector General,3010,0,,BX 12,20,0323,Annual,1,44604,44604,1.0,
102,Local,3,0100,1005,OFFICE OF INSPECTOR GENERAL,2005,Office of Inspector General,3010,0,,BX 17,20,0126,Annual,1,91752,91752,1.0,
103,Local,3,0100,1005,OFFICE OF INSPECTOR GENERAL,2005,Office of Inspector General,3010,0,,1 00,0,0015,Annual,0,17476,17476,,0.0
104,Local,3,0100,1005,OFFICE OF INSPECTOR GENERAL,2005,Office of Inspector General,3015,0,,1 00,9,9665,Annual,1,141144,141144,1.0,
105,Local,3,0100,1005,OFFICE OF INSPECTOR GENERAL,2005,Office of Inspector General,3015,0,,3 00,10,1645,Annual,1,61800,61800,1.0,
106,Local,3,0100,1005,OFFICE OF INSPECTOR GENERAL,2005,Office of Inspector General,3015,0,,3 00,0,1262,Annual,1,105156,420624,4.0,
107,Local,3,0100,1005,OFFICE OF INSPECTOR GENERAL,2005,Office of Inspector General,3015,0,,3 00,0,1202,Annual,1,123996,247992,2.0,
108,Local,3,0100,1005,OFFICE OF INSPECTOR GENERAL,2005,Office of Inspector General,3015,0,,B 13,1,0308,Annual,1,87636,87636,1.0,
109,Local,3,0100,1005,OFFICE OF INSPECTOR GENERAL,2005,Office of Inspector General,3020,0,,1 00,9,9659,Annual,1,133032,133032,1.0,
110,Local,3,0100,1005,OFFICE OF INSPECTOR GENERAL,2005,Office of Inspector General,3020,0,,3 00,0,5633,Annual,1,104712,104712,1.0,
111,Local,3,0100,1005,OFFICE OF INSPECTOR GENERAL,2005,Office of Inspector General,3020,0,,3 00,0,1260,Annual,1,104712,104712,1.0,
112,Local,3,0100,1005,OFFICE OF INSPECTOR GENERAL,2005,Office of Inspector General,3020,0,,BX 12,10,1230,Annual,1,46776,93552,2.0,
113,Local,3,0100,1005,OFFICE OF INSPECTOR GENERAL,2005,Office of Inspector General,3020,0,,GY 09,0,1222,Annual,1,103716,311148,3.0,
114,Local,3,0100,1005,OFFICE OF INSPECTOR GENERAL,2005,Office of Inspector General,3020,0,,GY 09,0,1222,Annual,1,82368,82368,1.0,
115,Local,3,0100,1005,OFFICE OF INSPECTOR GENERAL,2005,Office of Inspector General,3020,0,,GY 08,0,1221,Annual,1,75408,75408,1.0,
116,Local,3,0100,1005,OFFICE OF INSPECTOR GENERAL,2005,Office of Inspector General,3020,0,,GY 08,0,1221,Annual,1,72120,72120,1.0,
117,Local,3,0100,1005,OFFICE OF INSPECTOR GENERAL,2005,Office of Inspector General,3020,0,,GY 06,0,1219,Annual,1,64320,64320,1.0,
118,Local,3,0100,1005,OFFICE OF INSPECTOR GENERAL,2005,Office of Inspector General,3020,0,,GY 06,0,1219,Annual,1,58260,58260,1.0,
119,Local,3,0100,1005,OFFICE OF INSPECTOR GENERAL,2005,Office of Inspector General,3020,0,,1 00,0,0015,Annual,0,10754,10754,,0.0
120,Local,3,0100,1005,OFFICE OF INSPECTOR GENERAL,2005,Office of Inspector General,3027,0,,GY 08,20,1126,Annual,1,82368,82368,1.0,
121,Local,3,0100,1005,OFFICE OF INSPECTOR GENERAL,2005,Office of Inspector General,3027,0,,GY 08,20,1126,Annual,1,78828,78828,1.0,
122,Local,3,0100,1005,OFFICE OF INSPECTOR GENERAL,2005,Office of Inspector General,3027,0,,GY 08,20,1126,Annual,1,75408,75408,1.0,
123,Local,3,0100,1005,OFFICE OF INSPECTOR GENERAL,2005,Office of Inspector General,3027,0,,GY 07,20,1125,Annual,1,70140,140280,2.0,
124,Local,3,0100,1005,OFFICE OF INSPECTOR GENERAL,2005,Office of Inspector General,3027,0,,1 00,0,0015,Annual,0,7141,7141,,0.0
125,Local,3,0100,1005,OFFICE OF INSPECTOR GENERAL,2005,Office of Inspector General,3032,0,,1 00,9,9659,Annual,1,139740,139740,1.0,
126,Local,3,0100,1005,OFFICE OF INSPECTOR GENERAL,2005,Office of Inspector General,3032,0,,GY 08,20,1289,Annual,1,78828,157656,2.0,
127,Local,3,0100,1005,OFFICE OF INSPECTOR GENERAL,2005,Office of Inspector General,3032,0,,GY 08,20,1289,Annual,1,75408,75408,1.0,
128,Local,3,0100,1005,OFFICE OF INSPECTOR GENERAL,2005,Office of Inspector General,3032,0,,GY 08,20,1289,Annual,1,70140,140280,2.0,
129,Local,3,0100,1005,OFFICE OF INSPECTOR GENERAL,2005,Office of Inspector General,3032,0,,3 00,0,1260,Annual,1,104712,104712,1.0,
130,Local,3,0100,1005,OFFICE OF INSPECTOR GENERAL,2005,Office of Inspector General,3032,0,,3 00,0,1127,Annual,1,104712,209424,2.0,
131,Local,3,0100,1005,OFFICE OF INSPECTOR GENERAL,2005,Office of Inspector General,3032,0,,GY 08,20,1126,Annual,1,75408,150816,2.0,
132,Local,3,0100,1005,OFFICE OF INSPECTOR GENERAL,2005,Office of Inspector General,3032,0,,GY 07,20,1125,Annual,1,70140,70140,1.0,
133,Local,3,0100,1005,OFFICE OF INSPECTOR GENERAL,2005,Office of Inspector General,3032,0,,GY 07,20,1125,Annual,1,64320,321600,5.0,
134,Local,3,0100,1005,OFFICE OF INSPECTOR GENERAL,2005,Office of Inspector General,3032,0,,1 00,0,0015,Annual,0,13124,13124,,0.0
135,Local,3,0100,1005,OFFICE OF INSPECTOR GENERAL,2005,Office of Inspector General,3040,0,,GY 08,20,1368,Annual,1,89928,89928,1.0,
136,Local,3,0100,1005,OFFICE OF INSPECTOR GENERAL,2005,Office of Inspector General,3040,0,,GY 08,20,1368,Annual,1,78828,78828,1.0,
137,Local,3,0100,1005,OFFICE OF INSPECTOR GENERAL,2005,Office of Inspector General,3040,0,,3 00,0,1216,Annual,1,104712,104712,1.0,
138,Local,3,0100,1005,OFFICE OF INSPECTOR GENERAL,2005,Office of Inspector General,3040,0,,3 00,0,0310,Annual,1,123996,123996,1.0,
139,Local,3,0100,1005,OFFICE OF INSPECTOR GENERAL,2005,Office of Inspector General,3040,0,,1 00,0,0015,Annual,0,4673,4673,,0.0
140,Local,5,0100,1005,OBM,2005,Office of Budget and Management,3005,0,,1 00,9,9905,Annual,1,175092,175092,1.0,
141,Local,5,0100,1005,OBM,2005,Office of Budget and Management,3005,0,,1 00,9,9868,Annual,1,144204,144204,1.0,
142,Local,5,0100,1005,OBM,2005,Office of Budget and Management,3005,0,,BX 16,20,0309,Annual,1,105420,105420,1.0,
143,Local,5,0100,1005,OBM,2005,Office of Budget and Management,3005,0,,BX 15,20,0305,Annual,1,96096,96096,1.0,
144,Local,5,0100,1005,OBM,2005,Office of Budget and Management,3050,0,,1 00,9,9656,Annual,1,122772,368316,3.0,
145,Local,5,0100,1005,OBM,2005,Office of Budget and Management,3050,0,,3 00,9,1124,Annual,1,103680,103680,1.0,
146,Local,5,0100,1005,OBM,2005,Office of Budget and Management,3050,0,,3 00,9,1124,Annual,1,100620,100620,1.0,
147,Local,5,0100,1005,OBM,2005,Office of Budget and Management,3050,0,,GY 07,20,1105,Annual,1,86856,86856,1.0,
148,Local,5,0100,1005,OBM,2005,Office of Budget and Management,3050,0,,GY 07,20,1105,Annual,1,70140,210420,3.0,
149,Local,5,0100,1005,OBM,2005,Office of Budget and Management,3050,0,,GY 07,20,1105,Annual,1,67464,67464,1.0,
150,Local,5,0100,1005,OBM,2005,Office of Budget and Management,3050,0,,BX 12,20,0323,Annual,1,72744,72744,1.0,
151,Local,5,0100,1005,OBM,2005,Office of Budget and Management,3050,0,,3 00,0,0229,Annual,1,104712,104712,1.0,
152,Local,5,0100,1005,OBM,2005,Office of Budget and Management,3050,0,,1 00,0,0015,Annual,0,3638,3638,,0.0
153,Local,5,0100,1005,OBM,2005,Office of Budget and Management,3055,0,,1 00,9,9656,Annual,1,122772,122772,1.0,
154,Local,5,0100,1005,OBM,2005,Office of Budget and Management,3060,0,,1 00,9,9684,Annual,1,127776,127776,1.0,
155,Local,5,0100,1005,OBM,2005,Office of Budget and Management,3060,0,,3 00,20,1322,Annual,1,96696,96696,1.0,
156,Local,5,0100,1005,OBM,2005,Office of Budget and Management,3060,0,,BX 15,10,1310,Annual,1,83628,83628,1.0,
157,Local,5,0100,1005,OBM,2005,Office of Budget and Management,3060,0,,1 00,0,0015,Annual,0,2624,2624,,0.0
158,Local,5,0100,1005,OBM,2005,Office of Budget and Management,3063,0,,GY 09,20,0647,Annual,1,103716,103716,1.0,
159,Local,5,0100,1005,OBM,2005,Office of Budget and Management,3063,0,,3 00,0,0601,Annual,1,122772,122772,1.0,
160,Local,5,0100,1005,OBM,2005,Office of Budget and Management,3065,0,,3 00,9,1124,Annual,1,103680,207360,2.0,
161,Local,5,0100,1005,OBM,2005,Office of Budget and Management,3065,0,,GY 08,20,1107,Annual,1,89928,89928,1.0,
162,Local,5,0100,1005,OBM,2005,Office of Budget and Management,3065,0,,GY 08,20,1107,Annual,1,78828,78828,1.0,
163,Local,5,0100,1005,OBM,2005,Office of Budget and Management,3065,0,,1 00,0,0015,Annual,0,2993,2993,,0.0
164,Local,5,0100,1005,OBM,2005,Office of Budget and Management,3070,0,,1 00,9,9656,Annual,1,122772,122772,1.0,
165,Local,5,0100,1005,OBM,2005,Office of Budget and Management,3070,0,,GY 08,20,1141,Annual,1,75408,75408,1.0,
166,Local,5,0100,1005,OBM,2005,Office of Budget and Management,3070,0,,GY 05,20,1103,Annual,1,72840,72840,1.0,
167,Local,5,0100,1005,OBM,2005,Office of Budget and Management,3070,0,,1 00,0,0015,Annual,0,274,274,,0.0
168,Local,15,0100,1005,CITY COUNCIL,2005,City Council,3005,0,,1 00,0,9699,Annual,1,44604,44604,1.0,
169,Local,15,0100,1005,CITY COUNCIL,2005,City Council,3005,0,,1 00,0,9699,Annual,1,38820,38820,1.0,
170,Local,15,0100,1005,CITY COUNCIL,2005,City Council,3005,0,,1 00,9,9645,Annual,1,0,0,50.0,
171,Local,15,0100,1005,CITY COUNCIL,2005,City Council,3005,0,,1 00,9,9625,Annual,1,0,0,100.0,
172,Local,15,0100,1005,CITY COUNCIL,2005,City Council,3005,0,,1 00,9,9619,Annual,1,105000,105000,1.0,
173,Local,15,0100,1005,CITY COUNCIL,2005,City Council,3005,0,,1 00,9,9611,Annual,1,76572,76572,1.0,
174,Local,15,0100,1005,CITY COUNCIL,2005,City Council,3005,0,,1 00,9,9611,Annual,1,67968,67968,1.0,
175,Local,15,0100,1005,CITY COUNCIL,2005,City Council,3005,0,,1 00,9,9611,Annual,1,65376,65376,1.0,
176,Local,15,0100,1005,CITY COUNCIL,2005,City Council,3005,0,,1 00,9,9611,Annual,1,64584,64584,1.0,
177,Local,15,0100,1005,CITY COUNCIL,2005,City Council,3005,0,,1 00,9,9603,Annual,1,71460,71460,1.0,
178,Local,15,0100,1005,CITY COUNCIL,2005,City Council,3005,0,,1 00,9,9603,Annual,1,70872,70872,1.0,
179,Local,15,0100,1005,CITY COUNCIL,2005,City Council,3005,0,,1 00,9,9601,Annual,1,123495,3828345,31.0,
180,Local,15,0100,1005,CITY COUNCIL,2005,City Council,3005,0,,1 00,9,9601,Annual,1,122738,368214,3.0,
181,Local,15,0100,1005,CITY COUNCIL,2005,City Council,3005,0,,1 00,9,9601,Annual,1,122304,366912,3.0,
182,Local,15,0100,1005,CITY COUNCIL,2005,City Council,3005,0,,1 00,9,9601,Annual,1,121551,121551,1.0,
183,Local,15,0100,1005,CITY COUNCIL,2005,City Council,3005,0,,1 00,9,9601,Annual,1,121102,121102,1.0,
184,Local,15,0100,1005,CITY COUNCIL,2005,City Council,3005,0,,1 00,9,9601,Annual,1,120872,120872,1.0,
185,Local,15,0100,1005,CITY COUNCIL,2005,City Council,3005,0,,1 00,9,9601,Annual,1,117407,117407,1.0,
186,Local,15,0100,1005,CITY COUNCIL,2005,City Council,3005,0,,1 00,9,9601,Annual,1,115560,115560,1.0,
187,Local,15,0100,1005,CITY COUNCIL,2005,City Council,3005,0,,1 00,9,9601,Annual,1,114438,114438,1.0,
188,Local,15,0100,1005,CITY COUNCIL,2005,City Council,3005,0,,1 00,9,9601,Annual,1,114172,114172,1.0,
189,Local,15,0100,1005,CITY COUNCIL,2005,City Council,3005,0,,1 00,9,9601,Annual,1,113772,341316,3.0,
190,Local,15,0100,1005,CITY COUNCIL,2005,City Council,3005,0,,1 00,9,9601,Annual,1,111506,111506,1.0,
191,Local,15,0100,1005,CITY COUNCIL,2005,City Council,3005,0,,1 00,9,9601,Annual,1,110904,110904,1.0,
192,Local,15,0100,1005,CITY COUNCIL,2005,City Council,3005,0,,1 00,9,9601,Annual,1,109812,109812,1.0,
