id,section_code,section_description
190,3102,Office of the First Deputy
191,3104,Operations
192,3106,Administrative Services
193,3108,Support Services
194,3112,Fire Prevention
195,3010,Investigations
196,3020,Public Outreach
197,3012,Information Technology
198,3015,Plan Review
199,3016,Code Enforcement
200,3017,Code Compliance
201,3025,Technical Inspections
202,3040,Small Projects
203,3010,Advocacy and Outreach
204,3011,Intergovernmental Affairs and Special Projects
205,3012,Small Business Advocacy
206,3013,Small Business Center
207,3018,Public Vehicle Licenses and Permits
208,3019,Local Liquor Control
209,3031,Business Compliance Enforcement
210,3032,Office of Labor Standards
211,3046,Prosecutions and Adjudications
212,3090,MPEA Administration
213,3003,Administration
214,3005,Animal Control
215,3010,Animal Care
216,3015,Anti-Cruelty
217,3005,Liquor License Revocation Appeals
218,3004,Departmental Administration
219,3009,Personnel/Payroll/Legal
220,3010,Financial Administration
221,3050,Solid Waste Collection
222,3076,Rodent Control - Administration
223,3077,Vector Control
224,3078,Cart Management
225,3079,Dead Animal Recovery
226,3320,Equipment Support Services
227,3335,Graffiti Blasters Program
228,3390,Field Operations
229,3127,Administration
230,3128,Forestry - Support
231,3136,Forestry Operations
232,3137,Tree Removal
233,3201,General Support
234,3204,Public Information
235,3205,Intergovernmental Support
236,3207,Performance Management
237,3209,Construction Services
238,3215,General Support
239,3216,Finance
240,3217,Contracts
241,3218,Human Resources
242,3130,Traffic Safety
243,3139,Sign Management
244,3245,General Support
245,3246,Programming and Planning
246,3247,Public Way Policy
247,3248,Neighborhood Enhancement and Sustainable Development
248,3270,Electrical Operations and Maintenance
249,3275,Electrical Construction
250,3255,Project Oversight
251,3256,Labor
252,3010,Portfolio Management
253,3025,Economic Development
254,3249,Collections  Ownership and Administrative Litigation
255,3644,Finance and Economic Development
256,3720,Employment Services  Hiring and Compensation
257,3222,Fleet Operations - Water
258,3215,Plan Review
259,3003,Agency Management
260,3005,Management Support
261,3010,Public Relations
262,3015,Cost Recovery
263,3075,Safety and Security
264,3048,Agency Management
265,3060,Purchasing
266,3065,Personnel/Payroll/Labor Relations
267,3071,Information Technology
268,3072,Finance
269,3103,Agency Management
270,3105,Capital Planning
271,3110,Engineering Services
272,3116,Inspections Services
273,3121,Design and Construction Services
274,3203,Agency Management
275,3205,Water Quality
276,3210,Water Pumping
277,3215,Water Treatment
278,3249,Agency Management
279,3256,Equipment Coordination/Warehouse and Stores
280,3257,Communications
281,3259,Evaluations
282,3261,System Installation and Maintenance
283,3263,Systems Installations
284,3265,Reimbursable Personnel
285,3340,Agency Management
286,3345,Meter Services
287,3350,Water Meter Installation and Repair
288,3025,Issuance of Vehicle Licenses
289,3030,Customer Processing Center
290,3035,License Compliance Unit
291,3040,Mail  Microfilm and Records
292,3349,Collections  Ownership and Administrative Litigation
293,3045,Deep Foundation Review
294,3301,Administration
295,3325,Field Operations
296,3351,Street Sweeping Divisions and Wards
297,3211,Administration
298,3214,Special Traffic Services
299,3217,Contractual Towing
300,3222,Auto Pounds
301,3223,Citywide Dispatch
302,3224,Traffic Services Supervision
303,3225,Towing / Relocation Services
304,3222,Electrical Engineering and Inspection
305,3223,Quality Assurance Engineering
306,3224,Design
307,3225,General Support
308,3228,Major Projects - Design and Construction
309,3229,Construction Supervision
310,3230,Bridges
311,3231,Neighborhood Improvements
312,3232,Landscape Management
313,3233,Transit Design
314,3236,Public Way Management
315,3264,One Call Program
316,3265,Program Support
317,3280,Reimbursable Personnel
318,3355,Project Oversight
319,3444,Finance and Economic Development
320,3223,Fleet Operations - Sewer
321,3030,Engineering Services
322,3035,Plumbing Inspection
323,3359,Evaluations
324,3363,Systems Installations
325,3364,Inspection Services
326,3390,IT Technical Support Services
327,3005,Administration and Support Services
328,3010,References and Circulation Services
329,3016,Technical Services
330,3021,Property Management Services
331,3030,Emergency Management
332,3040,Office of International Relations
333,3200,Executive Administration
334,3205,Finance and Administration
335,3210,Arts and Creative Industries
336,3215,Events Programming
337,3220,Strategic Initiatives and Partnerships
338,3225,Marketing and Communication
339,3232,Cultural Planning and Operations
340,3235,Chicago Film Office
341,3224,Fleet Operations - Midway
342,3336,Airport Operations South - Midway
343,3010,Chicago Midway Airport
344,3707,Appeals
345,3749,Collections  Ownership and Administrative Litigation
346,3225,Fleet Operations - O'Hare
347,3335,Airport Operations North - O'Hare
348,3015,Chicago-O'Hare International Airport
349,3035,Housing Development
350,3040,TIF Administration
351,3044,Finance and Economic Development
352,3058,Solid Waste Disposal
353,3935,Grants Administration
354,3855,Central Grants Management
355,381V,Family Connects
356,3721,Resource Conservation
357,3815,Cable Local Origination
358,380L,Lead Poisoning Surveillance
359,3819,Hospital Preparedness Program (HPP)
360,3853,Public Health Emergency Preparedness (PHEP)
361,3829,Emergency Preparedness
362,3934,Vaccine Preventable Diseases
363,3816,HIV Morbidity and Risk Behavior
364,3938,Tuberculosis
365,380Y,HIV Surveillance and Prevention
366,3944,Lead Hazard Reduction
367,380R,C3 Clinical and Translation Research
368,3714,Air Pollution Control Program
369,3710,Building Epidemiology and Health IT Capacity
370,3729,Genetics Education / Follow Up Services
371,3924,STI Surveillance
372,381D,Injury Prevention and Control Research
373,3993,Housing Opportunities for People with AIDS (HOPWA)
374,3731,Ryan White HIV Care Act Part A - Emergency Relief
375,3820,Securing the City
376,3823,Securing the City
377,380H,Unified Work Program
378,3906,Administration and Support Services
379,3910,Reference and Circulation Services
380,3915,Unassigned Technical Services
381,3836,Walder Fellowship
382,3837,My Chi - My Future
383,3833,Home Investment Partnership
384,3819,Home Investment Partnership
385,3812,Work Incentive Planning and Assistance
386,3949,Motor Vehicle Theft Prevention
387,380Z,Crime Victim Assistance
388,3854,Urban Areas Security Initiative
389,3815,Urban Areas Security Initiative
390,380V,Urban Areas Security Initiative
391,3811,Urban Areas Security Initiative
392,3720,Underground Storage Tank Inspection
393,3722,Solid Waste Management
394,3905,Head Start
395,3807,OAA Title V / Senior Community Service Employment
396,3964,Alzheimer's Disease Program Initiatiive
397,3805,Community Services Block Grant
398,3815,Foster Grandparents
399,3904,Area Plan on Aging
400,3730,Local Health Protection
401,3911,MCH Block Grant
402,3906,Childhood Lead Poisoning Prevention
403,3910,WIC Nutrition Services
404,3852,Anadarko / Streeterville Removal
405,381F,Anadarko / Streeterville Removal
406,3831,Workforce Innovation
407,3805,Substance Abuse Prevention
408,3868,Senior Companion Project - Action
409,3896,CHA Family Supportive Services
410,3942,Emergency and Transitional Housing
411,3943,Child Care Services
412,3944,Emergency Solutions
413,3946,Senior Health Assistance Program
414,3962,Early Childhood Block Grant
415,3810,Edward Byrne Memorial Justice Assistance Grant (JAG)
416,3996,Edward Byrne Memorial Justice Assistance Grant (JAG)
417,3921,Transit Security
418,3983,COPS Hiring Program
419,3844,Violence Against Women - Domestic Violence Protection
420,3810,Fire Academy Training and Improvement
421,3806,Tobacco Free Communities
422,3837,Vector Control Tire Administration
423,3947,HIV Behavioral Surveillance
424,3505,Administration and Monitoring
425,3556,Developer Services
426,3557,Housing Preservation
427,3558,Emergency Repair
428,3559,Housing Services and Assistance
429,3560,Homeownership Counseling Services
430,3561,Small Accessible Repairs for Seniors
431,3562,Neighborhood Lending
432,3563,Construction and Compliance
433,3512,Grant and Project Accounting
434,3515,Code Enforcement
435,3525,Environmental Review
436,3555,Lead Paint Identification & Abatement
437,3577,Mental Health Clinics
438,3505,Education  Outreach and Intergroup Relations
439,3510,Fair Housing
440,3503,Administration
441,3505,Programs for the Disabled
442,3535,Home Mod
443,3520,Human Services Programs
444,3516,Homeless Services
445,3530,Workforce Services Program
446,3540,Senior Services Programs
447,3550,Domestic Violence Programs
448,3505,Finance and Human Resources
449,3506,Communications and Outreach
450,3510,Code Enforcement
451,3515,Strategic Task Force
